Software ver: OPC-N3 Alphasense 1.0.6457.18465
Device SerNo,OPC-N3 177470016                                            
InfoString,OPC-N3 Iss1.1 FirmwareVer=1.17............................BS
Laser digital pot setting,145
Fan digital pot setting,255
ToF to SFR factor,56
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin23 (upper boundary)
Bin low boundary (ADC o/p),14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Bin low boundary (particle diameter [um]),0.35,0.46,0.66,1.00,1.30,1.70,2.30,3.00,4.00,5.20,6.50,8.00,10.00,12.00,14.00,16.00,18.00,20.00,22.00,25.00,28.00,31.00,34.00,37.00,40.00
Bin mean (particle diameter [um]),0.41,0.56,0.83,1.15,1.50,2.00,2.65,3.50,4.60,5.85,7.25,9.00,11.00,13.00,15.00,17.00,19.00,21.00,23.50,26.50,29.50,32.50,35.50,38.50
Vol of a particle in bin (um3),0.0348,0.0920,0.2994,0.7963,1.7671,4.1888,9.7440,22.4493,50.9650,104.8253,199.5320,381.7035,696.9100,1150.3465,1767.1459,2572.4408,3591.3640,4849.0483,6795.1995,9743.9769,13442.0241,17974.1642,23425.2202,29880.0150
Weighting for bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Data:
OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C),RelativeHumidity(%),#RejectGlitch,#RejectLongTOF,#RejectRatio,#RejectOutOfRange,FanRevCount,LaserStatus,PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
43578.7253586111,3.808,0.601,0.000,0.200,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.67,8.00,0.00,0.00,4.810,4.99,5.05,28.8,31.8,1,0,679,8,0,609,0.06,0.13,0.13,0.05,0.30,4.51
43578.7254743519,6.613,0.200,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,0.00,0.00,0.00,7.214,4.99,5.05,28.9,31.5,4,0,654,5,0,609,0.06,0.17,3.33,0.05,0.29,4.46
43578.7255900926,3.407,1.002,0.200,0.000,0.200,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,0.00,11.33,0.00,5.010,4.99,5.05,29.0,31.4,2,0,628,3,0,608,0.06,0.22,0.28,0.05,0.29,4.29
43578.7257058333,6.012,0.802,0.401,0.200,0.200,0.401,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.33,9.00,9.33,0.00,8.216,4.99,5.12,29.1,31.2,6,0,636,3,0,607,0.11,0.54,0.84,0.05,0.30,4.15
43578.7258215741,4.008,0.401,0.200,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,0.00,0.00,0.00,4.810,4.99,5.12,29.1,31.1,3,0,609,4,0,608,0.05,0.10,0.11,0.05,0.29,3.99
43578.7259373148,3.808,0.802,0.000,0.000,0.401,0.601,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,8.33,0.00,10.33,0.00,6.012,4.99,5.11,29.1,31.1,3,0,522,4,0,609,0.08,0.64,3.66,0.05,0.30,3.98
43578.7260530556,2.605,0.401,0.802,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.33,0.00,0.00,0.00,4.008,4.99,5.15,29.2,31.2,3,0,654,2,0,609,0.05,0.07,7.14,0.05,0.29,4.09
43578.7261687963,4.208,0.200,0.802,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.00,0.00,0.00,0.00,5.210,4.99,5.18,29.3,30.9,1,0,584,10,0,609,0.06,0.08,0.08,0.06,0.29,3.95
43578.726284537,3.808,0.401,0.000,0.000,0.200,0.000,0.200,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.33,0.00,0.00,12.67,5.210,4.99,5.13,29.3,30.7,4,0,617,3,0,609,0.04,0.41,16.57,0.05,0.29,4.38
43578.7264002778,2.806,0.401,0.200,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.33,0.00,0.00,0.00,3.607,4.99,5.01,29.3,30.8,1,0,598,1,0,609,0.04,0.10,0.11,0.06,0.29,4.38
