date,>0.30 ?m,>0.40 ?m,>0.50 ?m,>0.65 ?m,>0.80 ?m,>1.0 ?m,>1.6 ?m,>2.0 ?m,>3.0 ?m,>4.0 ?m,>5.0 ?m,>7.5 ?m,>10.0 ?m,>15.0 ?m,>20.0 ?m
05/04/2019 3.07.00,145,45,15,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.08.00,115,55,25,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.09.00,135,25,15,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.10.00,100,20,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.11.00,155,35,20,10,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 3.12.00,160,60,20,5,5,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.13.00,130,20,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.14.00,70,20,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.15.00,105,40,15,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.16.00,60,20,20,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.17.00,120,30,10,10,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.18.00,125,35,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.19.00,85,25,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.20.00,85,25,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.21.00,105,25,15,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.22.00,90,25,10,5,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 3.23.00,115,50,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.24.00,90,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.25.00,95,35,15,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.26.00,80,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.27.00,100,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.28.00,140,30,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.29.00,105,15,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.30.00,80,40,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.31.00,140,15,5,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.32.00,135,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.33.00,115,50,20,10,5,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.34.00,130,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.35.00,95,40,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.36.00,90,15,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.37.00,100,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.38.00,135,65,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.39.00,160,30,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.40.00,150,60,20,10,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.41.00,85,40,15,10,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.42.00,90,15,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.43.00,105,40,10,10,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 3.44.00,105,35,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.45.00,140,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.46.00,145,50,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.47.00,85,40,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.48.00,160,40,25,10,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.49.00,125,20,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.50.00,85,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.51.00,110,25,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.52.00,95,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.53.00,95,20,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.54.00,100,40,20,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.55.00,95,20,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.56.00,50,15,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.57.00,85,20,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.58.00,90,30,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 3.59.00,70,15,5,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.00.00,100,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.01.00,105,10,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.02.00,95,35,15,5,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 4.03.00,70,20,10,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.04.00,90,25,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.05.00,85,25,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.06.00,115,25,10,5,5,5,5,3,0,0,0,0,0,0,0
05/04/2019 4.07.00,85,15,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.08.00,80,35,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.09.00,75,10,5,5,5,5,5,3,0,0,0,0,0,0,0
05/04/2019 4.10.00,90,25,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.11.00,90,15,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.12.00,90,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.13.00,80,40,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.14.00,110,45,5,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.15.00,135,25,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.16.00,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.17.00,100,40,15,5,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 4.18.00,110,45,20,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.19.00,75,20,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.20.00,85,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.21.00,100,20,5,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.22.00,110,35,10,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.23.00,85,5,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.24.00,100,45,20,10,10,10,10,5,0,0,0,0,0,0,0
05/04/2019 4.25.00,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.26.00,80,30,10,5,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 4.27.00,130,25,5,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.28.00,65,20,20,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.29.00,85,20,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.30.00,120,20,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.31.00,125,35,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.32.00,135,40,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.33.00,135,15,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.34.00,90,30,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.35.00,140,50,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.36.00,85,20,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.37.00,105,45,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.38.00,65,10,5,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.39.00,70,15,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.40.00,110,20,10,5,5,5,5,3,0,0,0,0,0,0,0
05/04/2019 4.41.00,85,20,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.42.00,100,30,10,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.43.00,80,30,15,5,5,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.44.00,105,30,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.45.00,165,25,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.46.00,110,55,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.47.00,115,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.48.00,45,5,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.49.00,90,20,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.50.00,80,30,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.51.00,140,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.52.00,90,25,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.53.00,85,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.54.00,95,25,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.55.00,75,20,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.56.00,100,20,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.57.00,65,10,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.58.00,100,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 4.59.00,100,30,15,5,5,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.00.00,105,35,5,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.01.00,105,25,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.02.00,115,30,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.03.00,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.04.00,95,30,10,5,5,5,5,3,0,0,0,0,0,0,0
05/04/2019 5.05.00,95,25,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.06.00,80,40,15,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.07.00,120,45,20,10,5,5,5,0,0,0,0,0,0,0,0
05/04/2019 5.08.00,110,45,15,5,5,5,5,3,0,0,0,0,0,0,0
05/04/2019 5.09.00,80,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.10.00,75,20,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.11.00,70,15,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.12.00,70,15,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.13.00,120,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.14.00,105,30,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.15.00,140,35,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.16.00,120,40,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.17.00,85,30,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.18.00,105,20,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.19.00,135,25,10,10,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 5.20.00,110,40,20,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.21.00,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.22.00,90,35,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.23.00,150,50,20,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.24.00,80,20,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.25.00,115,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.26.00,120,35,10,5,5,5,5,0,0,0,0,0,0,0,0
05/04/2019 5.27.00,130,50,20,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.28.00,135,40,10,5,5,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.29.00,75,10,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.30.00,140,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.31.00,145,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.32.00,110,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.33.00,100,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.34.00,125,30,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.35.00,150,40,10,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.36.00,140,35,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.37.00,135,30,15,5,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 5.38.00,155,30,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.39.00,115,15,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.40.00,125,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.41.00,125,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.42.00,115,10,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.43.00,95,10,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.44.00,145,50,5,5,5,5,5,3,0,0,0,0,0,0,0
05/04/2019 5.45.00,160,25,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.46.00,100,35,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.47.00,120,50,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.48.00,100,25,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.49.00,110,20,5,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.50.00,110,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.51.00,145,40,25,10,10,10,0,0,0,0,0,0,0,0,0
05/04/2019 5.52.00,185,45,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.53.00,120,35,20,10,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 5.54.00,140,20,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.55.00,130,50,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.56.00,120,40,30,10,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.57.00,130,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.58.00,105,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 5.59.00,140,35,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.00.00,140,40,15,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.01.00,150,40,15,10,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.02.00,160,35,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.03.00,115,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.04.00,145,35,15,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.05.00,140,35,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.06.00,105,15,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.07.00,140,35,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.08.00,155,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.09.00,150,50,20,5,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 6.10.00,150,40,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.11.00,155,30,15,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.12.00,160,35,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.13.00,140,40,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.14.00,175,45,10,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.15.00,175,35,20,10,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.16.00,105,35,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.17.00,120,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.18.00,170,60,20,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.19.00,160,40,25,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.20.00,140,35,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.21.00,140,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.22.00,120,20,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.23.00,140,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.24.00,125,50,20,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.25.00,140,40,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.26.00,145,35,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.27.00,135,30,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.28.00,135,45,25,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.29.00,140,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.30.00,105,35,5,5,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 6.31.00,170,65,20,5,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 6.32.00,130,45,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.33.00,135,25,20,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.34.00,180,80,20,15,15,15,5,0,0,0,0,0,0,0,0
05/04/2019 6.35.00,175,50,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.36.00,150,35,10,5,5,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.37.00,135,20,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.38.00,165,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.39.00,150,35,10,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.40.00,105,40,25,5,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 6.41.00,145,50,20,10,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.42.00,90,30,5,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.43.00,115,10,10,5,5,5,5,0,0,0,0,0,0,0,0
05/04/2019 6.44.00,125,50,20,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.45.00,135,30,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.46.00,130,30,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.47.00,125,50,5,5,5,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.48.00,125,40,20,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.49.00,145,35,25,10,5,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.50.00,120,55,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.51.00,145,50,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.52.00,135,30,15,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.53.00,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.54.00,85,10,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.55.00,145,50,20,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.56.00,195,50,10,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.57.00,115,35,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.58.00,145,45,20,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 6.59.00,100,15,5,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.00.00,150,55,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.01.00,190,35,5,5,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 7.02.00,130,55,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.03.00,120,25,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.04.00,160,35,25,15,10,5,0,0,0,0,0,0,0,0,0
05/04/2019 7.05.00,80,30,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.06.00,125,35,15,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.07.00,95,35,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.08.00,125,40,10,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.09.00,120,30,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.10.00,120,30,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.11.00,105,45,10,5,5,5,0,0,0,0,0,0,0,0,0
05/04/2019 7.12.00,105,35,15,5,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.13.00,85,25,5,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.14.00,150,45,20,10,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.15.00,155,30,5,5,5,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.16.00,140,35,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.17.00,150,15,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.18.00,100,35,15,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2019 7.19.00,545,260,140,65,50,40,30,10,3,2,2,0,0,0,0
05/04/2019 7.20.00,1200,685,495,330,240,205,120,103,81,51,32,17,10,2,1
05/04/2019 7.21.00,2051,1385,1020,625,445,365,225,172,109,67,37,17,7,2,0
05/04/2019 7.22.00,1891,1160,850,520,375,320,225,159,88,58,40,13,5,2,0
05/04/2019 7.23.00,1615,1075,725,420,300,210,140,112,69,43,26,8,3,0,0
05/04/2019 7.24.00,1480,990,710,450,345,295,210,133,70,48,19,7,4,2,0
05/04/2019 7.25.00,1390,1000,760,425,330,275,200,144,79,44,15,6,0,0,0
05/04/2019 7.26.00,1580,985,700,395,290,235,170,105,61,41,25,8,2,1,0
05/04/2019 7.27.00,1185,770,560,340,255,225,130,96,51,26,18,5,3,1,0
05/04/2019 7.28.00,1285,745,555,365,230,195,135,95,49,27,14,4,1,0,0
05/04/2019 7.29.00,1395,825,660,375,255,225,155,111,52,34,21,7,4,0,0
05/04/2019 7.30.00,1100,750,510,330,260,225,175,113,54,27,17,3,0,0,0
05/04/2019 7.31.00,1255,720,550,350,200,170,100,80,45,22,6,1,1,1,0
05/04/2019 7.32.00,1030,625,450,270,185,155,115,83,40,23,14,3,2,1,0
05/04/2019 7.33.00,1050,705,510,295,185,155,90,57,27,14,9,2,1,0,0
05/04/2019 7.34.00,970,565,405,235,175,140,75,48,28,16,6,2,2,0,0
05/04/2019 7.35.00,1000,640,500,315,235,200,115,82,37,19,11,1,1,1,0
05/04/2019 7.36.00,980,575,350,220,105,100,70,59,33,15,9,1,1,0,0
05/04/2019 7.37.00,1035,600,480,275,200,150,95,57,29,16,8,3,1,0,0
05/04/2019 7.38.00,1010,570,395,235,155,140,105,68,39,23,9,2,1,0,0
05/04/2019 7.39.00,915,570,420,215,135,120,60,36,23,13,6,4,2,0,0
05/04/2019 7.40.00,1095,685,440,225,160,125,85,49,16,13,5,3,1,0,0
05/04/2019 7.41.00,790,485,335,210,150,125,50,45,21,13,7,0,0,0,0
05/04/2019 7.42.00,915,535,340,215,145,110,75,46,23,11,5,2,1,0,0
05/04/2019 7.43.00,815,525,335,175,115,85,65,37,20,9,5,0,0,0,0
05/04/2019 7.44.00,755,415,290,190,125,110,80,48,16,6,2,1,0,0,0
05/04/2019 7.45.00,705,415,285,145,100,75,45,26,7,3,1,1,0,0,0
05/04/2019 7.46.00,805,435,320,185,105,95,50,28,8,4,3,0,0,0,0
05/04/2019 7.47.00,760,475,355,220,160,115,80,44,13,8,4,0,0,0,0
05/04/2019 7.48.00,630,335,230,150,100,75,60,41,9,4,1,0,0,0,0
05/04/2019 7.49.00,650,350,240,105,80,60,30,21,8,3,0,0,0,0,0
05/04/2019 7.50.00,465,275,215,145,105,95,65,39,7,2,0,0,0,0,0
05/04/2019 7.51.00,585,285,205,115,70,45,20,16,11,4,1,0,0,0,0
05/04/2019 7.52.00,610,325,210,110,80,60,30,19,1,1,0,0,0,0,0
05/04/2019 7.53.00,660,330,235,140,80,50,35,18,8,3,1,1,0,0,0
05/04/2019 7.54.00,535,275,190,115,75,65,35,21,6,3,1,0,0,0,0
05/04/2019 7.55.00,535,285,215,125,80,60,15,8,2,1,0,0,0,0,0
05/04/2019 7.56.00,570,325,260,110,55,35,25,16,4,2,0,0,0,0,0
05/04/2019 7.57.00,490,280,180,115,60,55,30,22,6,3,1,0,0,0,0
05/04/2019 7.58.00,545,310,240,125,85,80,45,20,3,1,0,0,0,0,0
05/04/2019 7.59.00,470,250,180,115,85,70,45,26,7,3,1,1,0,0,0
05/04/2019 8.00.00,520,250,185,95,65,60,25,12,3,1,0,0,0,0,0
05/04/2019 8.01.00,445,260,165,80,50,30,15,7,0,0,0,0,0,0,0
05/04/2019 8.02.00,305,170,105,35,35,35,15,8,3,1,0,0,0,0,0
05/04/2019 8.03.00,420,205,145,85,55,45,25,15,4,4,0,0,0,0,0
05/04/2019 8.04.00,390,210,115,75,30,30,20,11,4,0,0,0,0,0,0
05/04/2019 8.05.00,440,245,185,115,90,60,30,17,3,1,0,0,0,0,0
05/04/2019 8.06.00,465,245,190,120,65,55,30,15,2,1,1,0,0,0,0
05/04/2019 8.07.00,460,230,150,75,50,40,25,8,4,2,1,0,0,0,0
05/04/2019 8.08.00,290,145,65,25,10,10,0,0,0,0,0,0,0,0,0
05/04/2019 8.09.00,335,155,100,60,50,35,20,11,1,1,1,1,1,0,0
05/04/2019 8.10.00,310,165,115,55,25,15,10,6,1,1,0,0,0,0,0
05/04/2019 8.11.00,325,135,100,55,40,30,15,8,3,1,1,0,0,0,0
05/04/2019 8.12.00,310,170,85,55,50,45,40,11,2,0,0,0,0,0,0
05/04/2019 8.13.00,340,175,120,65,35,30,20,12,2,1,0,0,0,0,0
05/04/2019 8.14.00,350,170,105,75,50,40,25,5,0,0,0,0,0,0,0
05/04/2019 8.15.00,285,140,95,50,35,20,0,0,0,0,0,0,0,0,0
05/04/2019 8.16.00,300,130,75,35,20,0,0,0,0,0,0,0,0,0,0
05/04/2019 8.17.00,310,175,85,50,35,30,5,3,0,0,0,0,0,0,0
05/04/2019 8.18.00,300,120,85,45,25,20,10,3,0,0,0,0,0,0,0
05/04/2019 8.19.00,285,145,95,45,30,25,15,8,0,0,0,0,0,0,0
05/04/2019 8.20.00,285,140,60,20,5,0,0,0,0,0,0,0,0,0,0
05/04/2019 8.21.00,250,140,80,45,35,25,15,9,1,0,0,0,0,0,0
05/04/2019 8.22.00,323,148,103,80,45,40,25,6,0,0,0,0,0,0,0
05/04/2019 8.23.00,270,140,50,25,15,10,0,0,0,0,0,0,0,0,0
05/04/2019 8.24.00,220,130,65,25,10,10,5,3,0,0,0,0,0,0,0
05/04/2019 8.25.00,245,125,75,40,25,5,5,3,1,0,0,0,0,0,0
05/04/2019 8.26.00,285,120,65,35,25,20,15,8,1,1,0,0,0,0,0
05/04/2019 8.27.00,315,145,95,45,25,20,20,11,0,0,0,0,0,0,0
