date,>0.30 ?m,>0.40 ?m,>0.50 ?m,>0.65 ?m,>0.80 ?m,>1.0 ?m,>1.6 ?m,>2.0 ?m,>3.0 ?m,>4.0 ?m,>5.0 ?m,>7.5 ?m,>10.0 ?m,>15.0 ?m,>20.0 ?m
04/04/2019 20.18.00,555,105,30,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.19.00,630,80,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.20.00,590,75,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.21.00,535,110,30,10,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.22.00,495,55,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.23.00,635,100,25,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 20.24.00,595,55,25,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.25.00,475,80,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.26.00,525,85,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.27.00,545,105,30,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 20.28.00,485,75,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.29.00,550,100,25,10,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 20.30.00,570,100,25,10,10,10,10,3,0,0,0,0,0,0,0
04/04/2019 20.31.00,555,90,25,10,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.32.00,700,95,10,10,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.33.00,600,85,5,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.34.00,660,105,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.35.00,515,75,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.36.00,440,75,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.37.00,500,85,30,5,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 20.38.00,500,80,25,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.39.00,425,50,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.40.00,495,100,30,5,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 20.41.00,480,105,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.42.00,370,75,15,10,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 20.43.00,500,85,20,20,10,5,0,0,0,0,0,0,0,0,0
04/04/2019 20.44.00,505,70,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.45.00,390,80,10,0,0,0,0,0,0,0,0,0,0,0,0
