date,Bin00,Bin00_counts_ml,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C),RelativeHumidity(%),#RejectGlitch,#RejectLongTOF,#RejectRatio,#RejectOutOfRange,FanRevCount,LaserStatus,PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
4/23/2019 17:26,2.605,0.518924303,1.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,8.33,0,0,0,4.208,4.99,5.02,29.5,30.5,2,0,614,2,0,608,0.04,0.04,4.11,0.06,0.29,4.55
4/23/2019 17:26,3.607,0.71284585,0.601,0.401,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,0,4.81,4.99,5.06,29.5,30.5,1,0,576,3,0,608,0.06,0.12,0.13,0.06,0.29,4.45
4/23/2019 17:26,3.407,0.673320158,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,8,0,0,0,4.208,4.99,5.06,29.5,30.5,1,0,643,1,0,609,0.03,0.16,8.28,0.06,0.29,4.64
4/23/2019 17:26,2.806,0.552362205,0.601,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11.67,9.67,0,4.008,4.99,5.08,29.6,30.3,1,0,593,4,0,610,0.05,0.18,0.23,0.06,0.28,4.57
4/23/2019 17:27,3.006,0.589411765,0.601,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4.008,4.99,5.1,29.6,30.3,0,0,596,4,0,608,0.03,0.3,2.1,0.06,0.28,4.19
4/23/2019 17:27,2.806,0.546978558,0.601,0.401,0,0,0,0,0.2,0.401,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,11.33,4.609,4.99,5.13,29.7,30.3,3,0,610,5,0,609,0.04,0.51,7.41,0.06,0.29,4.17
4/23/2019 17:27,3.808,0.73655706,0.401,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,4.409,4.99,5.17,29.7,30.2,4,0,657,1,0,609,0.03,0.06,5.04,0.06,0.29,4.09
4/23/2019 17:27,3.206,0.614176245,0.601,0.401,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,8.67,9.67,0,4.81,4.99,5.22,29.7,30.2,0,0,598,1,0,609,0.06,0.3,1.91,0.06,0.29,3.85
4/23/2019 17:27,3.607,0.697678917,0.401,0.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0,4.609,4.99,5.17,29.8,30.1,1,0,598,3,0,610,0.05,0.06,0.06,0.06,0.28,3.83
4/23/2019 17:27,3.607,0.693653846,0.401,0.401,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,7.67,0,0,0,4.81,4.99,5.2,29.8,30,0,0,600,1,0,609,0.05,0.21,8.74,0.06,0.28,4.09
